Device,VLAN,VLAN_Name,SVI_IP,SVI_MAC,SVI_MAC_Company,SVI_Description,MAC_Count,ARP_Count,Traffic_Check,Traffic_Ports,Traffic_Statistics,MAC_Address,MAC_Company,ARP_Check,ARP_Missing_MACs,Root_Bridge,Shutdown_Recommendation
DDC1-USON-ASW1,130,USON_AD_SEC,,,,,4,0,TRAFFIC_DETECTED,Po2; Eth146/1/13,Po2: IN 21290624 bps / OUT 15104536 bps; Eth146/1/13: IN 0 bps / OUT 592 bps,0000.0c9f.f00a; 0026.980a.c843; 0026.9822.8bc3; ac16.2d45.2087,"Cisco Systems, Inc; Cisco Systems, Inc; Cisco Systems, Inc; Hewlett Packard",MISSING_ARP,0000.0c9f.f00a; 0026.980a.c843; 0026.9822.8bc3; ac16.2d45.2087,NO,
DDC1-USON-ASW1,131,DDC_CAJ1,,,,,4,0,TRAFFIC_DETECTED,Po2; Eth140/1/26,Po2: IN 18425264 bps / OUT 12054944 bps; Eth140/1/26: IN 0 bps / OUT 648 bps,0000.0c9f.f00a; 0026.980a.c843; 0026.9822.8bc3; 9457.a560.f1c9,"Cisco Systems, Inc; Cisco Systems, Inc; Cisco Systems, Inc; Hewlett Packard",MISSING_ARP,0000.0c9f.f00a; 0026.980a.c843; 0026.9822.8bc3; 9457.a560.f1c9,NO,
DDC1-USON-ASW1,132,DDC_CAJ2,,,,,2,0,TRAFFIC_DETECTED,Po2,Po2: IN 18161472 bps / OUT 10293360 bps,0000.0c9f.f00a; 0026.9822.8bc3,"Cisco Systems, Inc; Cisco Systems, Inc",MISSING_ARP,0000.0c9f.f00a; 0026.9822.8bc3,NO,
DDC1-USON-ASW1,133,DDC_CAJ3,,,,,2,0,TRAFFIC_DETECTED,Po2,Po2: IN 17585608 bps / OUT 9496424 bps,0000.0c9f.f00a; 0026.9822.8bc3,"Cisco Systems, Inc; Cisco Systems, Inc",MISSING_ARP,0000.0c9f.f00a; 0026.9822.8bc3,NO,
DDC1-USON-ASW1,135,USON_EXCHANGE_PRI,,,,,3,0,TRAFFIC_DETECTED,Po2,Po2: IN 18877648 bps / OUT 13020112 bps,0000.0c9f.f00a; 0026.980a.c843; 0026.9822.8bc3,"Cisco Systems, Inc; Cisco Systems, Inc; Cisco Systems, Inc",MISSING_ARP,0000.0c9f.f00a; 0026.980a.c843; 0026.9822.8bc3,NO,
DDC1-USON-ASW1,136,USON_EXCHANGE_SEC,,,,,2,0,TRAFFIC_DETECTED,Po2,Po2: IN 16945064 bps / OUT 11687112 bps,0000.0c9f.f00a; 0026.9822.8bc3,"Cisco Systems, Inc; Cisco Systems, Inc",MISSING_ARP,0000.0c9f.f00a; 0026.9822.8bc3,NO,
DDC1-USON-ASW1,137,USON_CITRIX_PRI,,,,,2,0,TRAFFIC_DETECTED,Po2,Po2: IN 16945064 bps / OUT 11687112 bps,0000.0c9f.f00a; 0026.9822.8bc3,"Cisco Systems, Inc; Cisco Systems, Inc",MISSING_ARP,0000.0c9f.f00a; 0026.9822.8bc3,NO,
DDC1-USON-ASW1,138,USON_CITRIX_SEC,,,,,2,0,TRAFFIC_DETECTED,Po2,Po2: IN 16413776 bps / OUT 10947144 bps,0000.0c9f.f00a; 0026.9822.8bc3,"Cisco Systems, Inc; Cisco Systems, Inc",MISSING_ARP,0000.0c9f.f00a; 0026.9822.8bc3,NO,
DDC1-USON-ASW1,139,USON_MELIO,,,,,2,0,TRAFFIC_DETECTED,Po2,Po2: IN 17873272 bps / OUT 10475616 bps,0000.0c9f.f00a; 0026.9822.8bc3,"Cisco Systems, Inc; Cisco Systems, Inc",MISSING_ARP,0000.0c9f.f00a; 0026.9822.8bc3,NO,
DDC1-USON-ASW1,140,USON_CITRIX_PVS1,,,,,2,0,TRAFFIC_DETECTED,Po2,Po2: IN 18749000 bps / OUT 10039720 bps,0000.0c9f.f00a; 0026.9822.8bc3,"Cisco Systems, Inc; Cisco Systems, Inc",MISSING_ARP,0000.0c9f.f00a; 0026.9822.8bc3,NO,
DDC1-USON-ASW1,141,USON_CITRIX_PVS2,,,,,2,0,TRAFFIC_DETECTED,Po2,Po2: IN 17975320 bps / OUT 11616568 bps,0000.0c9f.f00a; 0026.9822.8bc3,"Cisco Systems, Inc; Cisco Systems, Inc",MISSING_ARP,0000.0c9f.f00a; 0026.9822.8bc3,NO,
DDC1-USON-ASW1,142,USON_ILO_2,,,,,27,0,TRAFFIC_DETECTED,Po2; Eth140/1/12,Po2: IN 17975320 bps / OUT 11616568 bps; Eth140/1/12: IN 2960 bps / OUT 3408 bps,0000.0c9f.f00a; 0021.5a04.3acb; 0021.5a04.3af5; 0026.980a.c843; 0026.9822.8bc3; 101f.7478.1596; 101f.7478.55da; 2c27.d716.85f8; 2c27.d716.9580; 2c27.d716.f790; 78e3.b50e.448b; 984b.e161.99b1; 984b.e172.acb7; 9c8e.992a.f8c7; 9c8e.992a.fe41; a45d.36fe.947f; b499.ba28.3a85; b499.ba28.3b83; b499.ba28.5c0a; b499.ba28.5c0b; b499.ba28.7ae1; b499.baaa.8d8a; b499.baaa.9424; b499.baaa.996a; f4ce.46ae.2945; f4ce.46ae.acb1; fc15.b413.c072,"Cisco Systems, Inc; Hewlett Packard; Hewlett Packard; Cisco Systems, Inc; Cisco Systems, Inc; Hewlett Packard; Hewlett Packard; Hewlett Packard; Hewlett Packard; Hewlett Packard; Hewlett Packard; Hewlett Packard; Hewlett Packard; Hewlett Packard; Hewlett Packard; Hewlett Packard; Hewlett Packard; Hewlett Packard; Hewlett Packard; Hewlett Packard; Hewlett Packard; Hewlett Packard; Hewlett Packard; Hewlett Packard; Hewlett Packard; Hewlett Packard; Hewlett Packard",MISSING_ARP,0000.0c9f.f00a; 0021.5a04.3acb; 0021.5a04.3af5; 0026.980a.c843; 0026.9822.8bc3; 101f.7478.1596; 101f.7478.55da; 2c27.d716.85f8; 2c27.d716.9580; 2c27.d716.f790; 78e3.b50e.448b; 984b.e161.99b1; 984b.e172.acb7; 9c8e.992a.f8c7; 9c8e.992a.fe41; a45d.36fe.947f; b499.ba28.3a85; b499.ba28.3b83; b499.ba28.5c0a; b499.ba28.5c0b; b499.ba28.7ae1; b499.baaa.8d8a; b499.baaa.9424; b499.baaa.996a; f4ce.46ae.2945; f4ce.46ae.acb1; fc15.b413.c072,NO,
